SL,TP,maxSpread,ts,tf
20,4,10,23:00:00,23:59:00
20,5,10,23:00:00,23:59:00
20,6,10,23:00:00,23:59:00
20,8,10,23:00:00,23:59:00
20,10,10,23:00:00,23:59:00
20,12,10,23:00:00,23:59:00
20,15,10,23:00:00,23:59:00
20,20,10,23:00:00,23:59:00
20,30,10,23:00:00,23:59:00
25,4,10,23:00:00,23:59:00
25,5,10,23:00:00,23:59:00
25,6,10,23:00:00,23:59:00
25,8,10,23:00:00,23:59:00
25,10,10,23:00:00,23:59:00
25,12,10,23:00:00,23:59:00
25,15,10,23:00:00,23:59:00
25,20,10,23:00:00,23:59:00
25,30,10,23:00:00,23:59:00
29,4,10,23:00:00,23:59:00
29,5,5,23:00:00,23:59:00
29,5,7,23:00:00,23:59:00
29,5,10,22:00:00,23:00:00
29,5,10,22:00:00,23:10:00
29,5,10,22:00:00,23:30:00
29,5,10,22:00:00,23:59:00
29,5,10,22:30:00,23:00:00
29,5,10,22:30:00,23:10:00
29,5,10,22:30:00,23:30:00
29,5,10,22:30:00,23:59:00
29,5,10,23:00:00,23:00:00
29,5,10,23:00:00,23:10:00
29,5,10,23:00:00,23:30:00
29,5,10,23:00:00,23:59:00
29,5,10,23:30:00,23:00:00
29,5,10,23:30:00,23:10:00
29,5,10,23:30:00,23:30:00
29,5,10,23:30:00,23:59:00
29,5,15,23:00:00,23:59:00
29,5,20,23:00:00,23:59:00
29,6,10,23:00:00,23:59:00
29,8,10,23:00:00,23:59:00
29,10,10,23:00:00,23:59:00
29,12,10,23:00:00,23:59:00
29,15,10,23:00:00,23:59:00
29,20,10,23:00:00,23:59:00
29,30,10,23:00:00,23:59:00
30,4,10,23:00:00,23:59:00
30,5,10,23:00:00,23:59:00
30,6,10,23:00:00,23:59:00
30,8,10,23:00:00,23:59:00
30,10,10,23:00:00,23:59:00
30,12,10,23:00:00,23:59:00
30,15,10,23:00:00,23:59:00
30,20,10,23:00:00,23:59:00
30,30,10,23:00:00,23:59:00
35,4,10,23:00:00,23:59:00
35,5,10,23:00:00,23:59:00
35,6,10,23:00:00,23:59:00
35,8,10,23:00:00,23:59:00
35,10,10,23:00:00,23:59:00
35,12,10,23:00:00,23:59:00
35,15,10,23:00:00,23:59:00
35,20,10,23:00:00,23:59:00
35,30,10,23:00:00,23:59:00
40,4,10,23:00:00,23:59:00
40,5,10,23:00:00,23:59:00
40,6,10,23:00:00,23:59:00
40,8,10,23:00:00,23:59:00
40,10,10,23:00:00,23:59:00
40,12,10,23:00:00,23:59:00
40,15,10,23:00:00,23:59:00
40,20,10,23:00:00,23:59:00
40,30,10,23:00:00,23:59:00
45,4,10,23:00:00,23:59:00
45,5,10,23:00:00,23:59:00
45,6,10,23:00:00,23:59:00
45,8,10,23:00:00,23:59:00
45,10,10,23:00:00,23:59:00
45,12,10,23:00:00,23:59:00
45,15,10,23:00:00,23:59:00
45,20,10,23:00:00,23:59:00
45,30,10,23:00:00,23:59:00
50,4,10,23:00:00,23:59:00
50,5,10,23:00:00,23:59:00
50,6,10,23:00:00,23:59:00
50,8,10,23:00:00,23:59:00
50,10,10,23:00:00,23:59:00
50,12,10,23:00:00,23:59:00
50,15,10,23:00:00,23:59:00
50,20,10,23:00:00,23:59:00
50,30,10,23:00:00,23:59:00
55,4,10,23:00:00,23:59:00
55,5,10,23:00:00,23:59:00
55,6,10,23:00:00,23:59:00
55,8,10,23:00:00,23:59:00
55,10,10,23:00:00,23:59:00
55,12,10,23:00:00,23:59:00
55,15,10,23:00:00,23:59:00
55,20,10,23:00:00,23:59:00
55,30,10,23:00:00,23:59:00
60,4,10,23:00:00,23:59:00
60,5,10,23:00:00,23:59:00
60,6,10,23:00:00,23:59:00
60,8,10,23:00:00,23:59:00
60,10,10,23:00:00,23:59:00
60,12,10,23:00:00,23:59:00
60,15,10,23:00:00,23:59:00
60,20,10,23:00:00,23:59:00
60,30,10,23:00:00,23:59:00
