symbol,base,digits,point,value
ADAJPY,JPY,2,0.01000,0.87
ADAUSD,USD,5,0.00001,0.10
AUDCAD,AUD,5,0.00001,0.81
AUDCHF,AUD,5,0.00001,1.10
AUDDKK,AUD,4,0.00010,1.53
AUDHUF,AUD,2,0.01000,3.21
AUDJPY,AUD,3,0.00100,0.89
AUDNZD,AUD,5,0.00001,0.67
AUDPLN,AUD,4,0.00010,2.50
AUDSGD,AUD,5,0.00001,0.73
AUDUSD,AUD,5,0.00001,1.00
BCHUSD,USD,2,0.01000,0.01
BTCEUR,EUR,2,0.01000,0.01
BTCJPY,JPY,0,1.00000,0.01
BTCUSD,USD,2,0.01000,0.01
CADCHF,CAD,5,0.00001,1.10
CADJPY,CAD,3,0.00100,0.87
CADNOK,CAD,5,0.00001,0.11
CADSEK,CAD,5,0.00001,0.11
CHFHUF,CHF,2,0.01000,3.21
CHFJPY,CHF,3,0.00100,0.86
CHFNOK,CHF,5,0.00001,0.12
CHFPLN,CHF,4,0.00010,2.52
CHFSGD,CHF,5,0.00001,0.74
DOGEJPY,JPY,2,0.01000,0.87
DOGEUSD,USD,5,0.00001,0.10
DOTJPY,JPY,0,1.00000,0.87
DOTUSD,USD,3,0.00100,0.10
EOSUSD,USD,4,0.00010,0.01
ETCUSD,USD,2,0.01000,0.01
ETHBTC,BTC,5,0.00001,0.42
ETHEUR,EUR,2,0.01000,0.01
ETHGBP,GBP,2,0.01000,0.01
ETHJPY,JPY,0,1.00000,0.01
ETHUSD,USD,2,0.01000,0.01
EURAUD,EUR,5,0.00001,0.72
EURCAD,EUR,5,0.00001,0.81
EURCHF,EUR,5,0.00001,1.09
EURCNH,EUR,4,0.00010,1.57
EURCZK,EUR,3,0.00100,4.68
EURDKK,EUR,5,0.00001,0.15
EURGBP,EUR,5,0.00001,1.33
EURHKD,EUR,5,0.00001,0.12
EURHUF,EUR,2,0.01000,3.21
EURJPY,EUR,3,0.00100,0.91
EURMXN,EUR,4,0.00010,0.49
EURNOK,EUR,5,0.00001,0.11
EURNZD,EUR,5,0.00001,0.68
EURPLN,EUR,4,0.00010,2.53
EURRUB,EUR,3,0.00100,0.00
EURSEK,EUR,5,0.00001,0.11
EURSGD,EUR,5,0.00001,0.74
EURTRY,EUR,4,0.00010,0.74
EURUSD,EUR,5,0.00001,1.00
EURZAR,EUR,4,0.00010,0.65
GBPAUD,GBP,5,0.00001,0.72
GBPCAD,GBP,5,0.00001,0.79
GBPCHF,GBP,5,0.00001,1.11
GBPDKK,GBP,5,0.00001,0.15
GBPHUF,GBP,2,0.01000,3.21
GBPJPY,GBP,3,0.00100,0.87
GBPNOK,GBP,5,0.00001,0.12
GBPNZD,GBP,5,0.00001,0.68
GBPPLN,GBP,4,0.00010,2.52
GBPSEK,GBP,5,0.00001,0.11
GBPSGD,GBP,5,0.00001,0.74
GBPTRY,GBP,4,0.00010,0.74
GBPUSD,GBP,5,0.00001,1.00
GBPZAR,GBP,4,0.00010,0.65
HKDJPY,HKD,2,0.01000,8.67
ICPUSD,USD,3,0.00100,0.11
IOSTJPY,JPY,2,0.01000,0.87
IOTAUSD,USD,4,0.00010,0.01
LTCUSD,USD,2,0.01000,0.01
NOKJPY,NOK,3,0.00100,0.88
NOKSEK,NOK,4,0.00010,1.10
NZDCAD,NZD,5,0.00001,0.81
NZDCHF,NZD,5,0.00001,1.10
NZDHUF,NZD,2,0.01000,3.22
NZDJPY,NZD,3,0.00100,0.91
NZDSGD,NZD,5,0.00001,0.74
NZDUSD,NZD,5,0.00001,1.00
OMGUSD,USD,4,0.00010,0.01
PLNJPY,PLN,2,0.01000,8.73
SEKJPY,SEK,3,0.00100,0.88
SGDJPY,SGD,3,0.00100,0.87
SOLUSD,USD,2,0.01000,0.01
TRXUSD,USD,5,0.00001,0.10
TRYJPY,TRY,2,0.01000,8.74
UNIJPY,JPY,2,0.01000,0.09
UNIUSD,USD,4,0.00010,0.01
USDBRL,USD,4,0.00010,0.00
USDCAD,USD,5,0.00001,0.81
USDCHF,USD,5,0.00001,1.07
USDCNH,USD,4,0.00010,1.56
USDCNY,USD,4,0.00010,0.00
USDCZK,USD,3,0.00100,4.68
USDDKK,USD,5,0.00001,0.15
USDHKD,USD,5,0.00001,0.13
USDHUF,USD,2,0.01000,3.20
USDJPY,USD,3,0.00100,0.90
USDMXN,USD,4,0.00010,0.49
USDNOK,USD,5,0.00001,0.11
USDPLN,USD,4,0.00010,2.53
USDRUB,USD,3,0.00100,0.00
USDSEK,USD,5,0.00001,0.11
USDSGD,USD,5,0.00001,0.74
USDTRY,USD,4,0.00010,0.74
USDZAR,USD,4,0.00010,0.65
XAUEUR,EUR,2,0.01000,1.14
XAUUSD,USD,2,0.01000,1.00
XBTUSD,USD,5,0.00001,0.00
XLMUSD,USD,5,0.00001,0.10
XRPJPY,JPY,2,0.01000,0.09
XRPUSD,USD,4,0.00010,1.00
ZARJPY,ZAR,2,0.01000,8.71
